Production_Budget_INR_Cr,Marketing_Budget_INR_Cr,Release_Month,Popularity_Score,Runtime_Minutes,Star_Success_Factor,Genre,Primary_Language,Diaspora_Strength_Score,Origin,India_Gross_INR_Cr,International_Gross_INR_Cr
6.24,0.5,2,38,144,3,Fantasy/Adventure,Hindi,8,Indian,11.92,10.87
466.03,145.08,7,60,137,1,Drama,English,8,Hollywood,306.2,1789.12
44.81,9.18,11,64,122,8,Thriller,Others,1,Indian,103.0,53.29
13.11,8.18,8,59,142,3,Drama,Hindi,3,Indian,24.17,22.74
152.11,19.53,8,57,164,5,Sci-Fi/Action,Tamil,7,Indian,247.47,261.83
17.59,2.37,2,67,116,8,Thriller,Hindi,1,Indian,35.46,16.39
310.21,63.18,11,53,141,6,Horror/Thriller,English,8,Hollywood,139.13,1732.19
45.61,7.43,12,43,146,3,Thriller,Telugu,1,Indian,65.97,38.7
103.26,12.02,3,86,149,10,Thriller,Telugu,3,Indian,293.67,116.73
22.02,7.04,9,33,118,1,Sci-Fi/Action,English,1,Indian,29.22,27.32
49.86,15.18,7,80,134,8,Superhero,English,2,Indian,223.73,149.65
27.18,8.47,4,37,128,2,Superhero,English,0,Indian,63.6,59.6
48.23,18.26,10,30,136,3,Fantasy/Adventure,Hindi,2,Indian,676.15,71.67
509.52,26.5,7,68,120,5,Drama,English,7,Hollywood,247.41,931.0
45.53,12.8,1,87,128,10,Sci-Fi/Action,Tamil,1,Indian,175.88,74.73
144.76,37.58,4,46,151,6,Historical Epic,English,3,Hollywood,171.3,470.57
49.49,15.66,1,60,134,5,Sci-Fi/Action,English,7,Hollywood,69.37,447.33
9.8,3.69,2,72,132,5,Drama,Hindi,3,Indian,19.5,17.19
12.66,0.5,6,59,153,7,Rom-Com,Hindi,1,Indian,34.13,12.74
75.38,20.45,8,70,121,6,Horror/Thriller,Telugu,4,Indian,94.83,69.26
32.83,6.16,1,30,117,1,Drama,Tamil,6,Indian,25.55,34.03
19.4,7.88,4,54,121,1,Sci-Fi/Action,Hindi,0,Indian,43.93,26.97
118.89,34.61,1,78,151,9,Drama,English,6,Hollywood,183.85,879.3
498.51,66.73,5,77,111,8,Rom-Com,English,2,Hollywood,471.82,2533.79
34.77,5.51,12,74,124,6,Superhero,Tamil,3,Indian,151.92,110.64
26.08,10.12,3,67,123,5,Drama,Telugu,2,Indian,51.32,32.92
61.86,21.37,4,72,141,5,Drama,Hindi,6,Indian,128.53,86.98
29.42,2.84,10,67,142,3,Animated,Hindi,0,Indian,68.23,37.03
128.51,19.58,12,51,127,4,Animated,English,5,Indian,198.85,204.27
3.7,3.6,5,45,157,5,Drama,Tamil,2,Indian,13.99,7.75
15.08,9.13,9,79,125,7,Fantasy/Adventure,Hindi,1,Indian,61.92,33.58
15.67,7.68,6,46,101,3,Action (Masala),Telugu,3,Indian,35.16,31.8
53.41,17.65,2,61,154,5,Historical Epic,Hindi,8,Indian,163.02,91.2
9.27,0.5,4,70,106,9,Horror/Thriller,Telugu,4,Indian,16.2,9.02
28.49,10.95,6,61,143,6,Historical Epic,Tamil,1,Indian,78.28,42.56
33.88,5.89,4,55,141,4,Horror/Thriller,Hindi,5,Indian,36.65,30.78
29.58,4.13,5,75,144,8,Animated,Tamil,0,Indian,83.64,31.39
52.89,12.44,8,51,120,4,Horror/Thriller,Telugu,4,Indian,66.2,43.3
34.94,4.93,6,65,151,5,Animated,Tamil,0,Indian,54.28,28.83
32.3,10.11,1,65,120,7,Animated,Tamil,2,Indian,68.23,34.21
329.9,53.59,12,86,133,7,Thriller,English,5,Hollywood,961.46,2013.26
141.46,41.41,12,40,138,3,Historical Epic,English,6,Hollywood,212.18,1247.96
51.31,13.1,3,61,153,6,Horror/Thriller,Hindi,2,Indian,72.45,42.43
64.21,20.23,2,78,160,8,Fantasy/Adventure,English,3,Indian,210.02,179.49
125.65,26.21,3,59,181,1,Historical Epic,Hindi,4,Indian,191.64,140.75
544.69,120.23,9,81,132,4,Animated,English,1,Hollywood,387.73,2996.56
29.32,4.62,11,42,127,2,Fantasy/Adventure,Tamil,1,Indian,30.06,37.11
137.35,30.01,12,74,120,6,Action (Masala),Hindi,6,Indian,376.32,359.02
23.16,6.02,9,47,137,6,Fantasy/Adventure,English,6,Indian,43.38,64.38
489.3,52.92,12,63,137,6,Thriller,English,2,Hollywood,342.33,1737.55
90.18,13.9,10,84,127,8,Fantasy/Adventure,Tamil,4,Indian,314.62,223.95
17.72,9.58,2,58,129,4,Superhero,Hindi,5,Indian,50.46,61.57
12.64,8.62,12,52,131,3,Thriller,Hindi,3,Indian,35.09,25.54
96.03,28.2,11,39,147,5,Sci-Fi/Action,Tamil,1,Indian,118.71,112.97
37.76,16.37,8,69,106,6,Rom-Com,Telugu,2,Indian,73.23,52.17
34.62,12.13,8,42,111,2,Superhero,Hindi,1,Indian,78.23,52.42
3.79,2.58,3,57,121,5,Superhero,Telugu,4,Indian,18.9,14.49
25.05,3.18,2,66,135,4,Fantasy/Adventure,English,8,Indian,51.24,75.21
15.62,0.5,12,46,151,6,Action (Masala),Hindi,2,Indian,50.77,27.79
16.22,0.5,6,50,117,4,Animated,Hindi,3,Indian,27.11,20.16
25.35,7.09,8,51,139,1,Fantasy/Adventure,Tamil,5,Indian,38.98,46.37
14.25,2.19,4,54,136,5,Fantasy/Adventure,Hindi,3,Indian,29.95,25.27
1086.92,166.52,9,79,122,4,Action (Masala),English,8,Hollywood,1026.13,9010.25
389.2,19.11,8,76,149,4,Historical Epic,English,4,Hollywood,622.01,1575.24
8.91,3.9,3,56,160,1,Drama,Hindi,2,Indian,12.32,13.18
9.19,0.5,12,49,142,5,Drama,Telugu,2,Indian,16.97,11.23
45.17,7.6,3,41,163,1,Superhero,Hindi,4,Indian,77.22,79.27
377.2,111.95,12,66,143,4,Thriller,English,2,Hollywood,263.9,751.16
34.61,12.03,11,53,119,5,Historical Epic,English,0,Indian,67.54,39.18
63.38,8.48,8,65,151,5,Thriller,Hindi,8,Indian,125.94,86.65
26.98,2.83,12,76,166,8,Thriller,Others,2,Indian,76.52,41.24
207.3,35.88,12,69,153,5,Fantasy/Adventure,English,3,Hollywood,257.92,1468.2
14.53,10.14,8,76,140,8,Superhero,Telugu,4,Indian,85.55,58.69
244.53,51.7,8,81,128,8,Historical Epic,English,8,Hollywood,518.83,1382.58
45.07,11.55,4,49,150,3,Historical Epic,Hindi,4,Indian,92.38,76.2
63.78,17.09,8,42,134,2,Action (Masala),Hindi,0,Indian,82.19,57.04
220.48,46.45,4,69,135,2,Sci-Fi/Action,English,5,Hollywood,227.07,1251.84
14.76,0.5,10,79,131,8,Fantasy/Adventure,Hindi,2,Indian,47.27,30.79
30.7,5.56,2,45,138,8,Sci-Fi/Action,Hindi,8,Indian,98.89,52.35
65.59,17.13,7,68,125,5,Rom-Com,Hindi,3,Indian,91.66,82.95
11.63,4.92,1,58,137,5,Thriller,Hindi,5,Indian,23.65,20.27
13.79,4.86,10,83,132,8,Animated,Hindi,4,Indian,59.88,35.12
217.65,71.08,1,70,157,3,Superhero,Hindi,3,Indian,621.0,433.55
22.57,2.91,12,45,93,5,Historical Epic,Hindi,2,Indian,50.28,41.2
217.82,50.99,6,88,115,8,Animated,English,2,Hollywood,396.18,1027.08
12.17,0.5,5,63,132,6,Sci-Fi/Action,Hindi,1,Indian,34.56,21.23
11.01,0.5,1,46,87,3,Thriller,Telugu,5,Indian,10.09,14.74
230.65,84.01,5,80,162,7,Thriller,English,5,Hollywood,391.02,1880.79
14.28,0.5,1,54,135,4,Drama,Tamil,3,Indian,20.71,10.97
11.76,0.5,10,57,139,5,Drama,Hindi,0,Indian,23.63,12.96
111.01,13.07,10,84,116,6,Animated,English,4,Hollywood,140.92,692.62
47.83,12.69,1,43,132,3,Drama,Hindi,3,Indian,68.26,61.59
30.2,6.22,6,56,133,5,Superhero,Hindi,2,Indian,78.68,51.62
540.41,111.15,4,64,137,5,Sci-Fi/Action,English,6,Hollywood,647.03,3824.99
167.78,39.33,10,76,131,3,Sci-Fi/Action,English,7,Hollywood,189.36,1251.49
48.12,14.29,1,52,131,1,Historical Epic,Hindi,5,Indian,63.94,97.1
19.09,0.96,1,50,141,5,Horror/Thriller,English,1,Indian,18.15,17.01
112.45,25.17,12,77,124,5,Drama,Hindi,4,Indian,170.44,117.37
62.3,4.95,1,45,131,1,Superhero,Telugu,0,Indian,132.57,93.24
33.3,7.86,12,90,127,8,Thriller,Hindi,2,Indian,74.82,43.83
43.16,8.7,1,49,147,2,Thriller,Others,6,Indian,47.83,68.9
102.79,14.0,11,58,105,5,Action (Masala),English,7,Hollywood,91.12,637.59
10.78,0.5,10,49,122,7,Horror/Thriller,Others,6,Indian,17.0,14.49
96.38,18.94,8,70,120,6,Animated,English,4,Hollywood,130.38,517.0
1218.51,91.24,9,80,117,7,Animated,English,1,Hollywood,1423.29,6762.51
81.18,19.22,10,86,123,8,Action (Masala),Hindi,2,Indian,320.36,210.02
76.61,17.29,5,62,150,3,Historical Epic,Others,2,Indian,164.67,119.79
47.28,14.55,7,82,123,9,Historical Epic,Hindi,5,Indian,188.66,102.77
120.06,16.82,4,88,146,8,Rom-Com,Telugu,5,Indian,194.87,165.77
15.82,0.5,8,46,162,4,Thriller,Tamil,2,Indian,16.21,13.85
25.48,6.93,9,63,111,6,Horror/Thriller,Hindi,2,Indian,43.31,21.11
56.56,9.18,3,78,118,9,Superhero,English,7,Hollywood,172.56,431.5
11.84,0.5,7,62,111,4,Animated,Hindi,3,Indian,23.39,14.8
22.86,11.06,4,57,153,1,Fantasy/Adventure,Hindi,0,Indian,48.68,34.78
393.58,72.78,8,65,165,6,Superhero,English,6,Hollywood,595.53,2438.91
59.16,16.15,3,68,131,6,Drama,English,6,Hollywood,63.16,313.44
68.53,21.43,1,85,158,6,Rom-Com,Hindi,5,Indian,145.71,121.56
23.73,0.81,4,61,129,2,Fantasy/Adventure,Hindi,7,Indian,46.26,49.34
480.96,42.93,8,78,165,7,Thriller,English,5,Hollywood,363.56,1937.57
64.56,4.71,12,63,161,6,Animated,Tamil,0,Indian,156.28,46.27
3.92,3.19,6,42,100,1,Thriller,English,3,Indian,5.47,9.94
20.6,4.49,3,60,141,3,Drama,Hindi,4,Indian,34.98,22.48
9.82,8.01,5,62,144,4,Rom-Com,English,4,Indian,27.96,30.57
7.67,0.5,7,61,129,5,Historical Epic,Others,5,Indian,19.05,14.91
147.25,32.25,3,67,129,6,Superhero,Telugu,5,Indian,508.06,281.0
45.89,7.46,7,53,124,6,Thriller,Hindi,6,Indian,105.03,70.77
2.92,1.99,7,62,151,5,Thriller,Telugu,0,Indian,7.55,4.18
13.62,3.59,5,74,108,8,Horror/Thriller,Others,2,Indian,32.98,17.71
13.96,7.42,4,47,166,1,Superhero,Others,4,Indian,33.24,27.01
248.87,22.9,11,71,133,8,Sci-Fi/Action,English,8,Hollywood,334.41,1645.27
31.79,8.48,7,82,124,9,Superhero,Others,3,Indian,133.43,56.7
55.75,1.14,1,71,129,4,Thriller,Hindi,6,Indian,102.45,82.48
9.62,6.67,1,85,142,7,Rom-Com,Telugu,5,Indian,36.01,26.68
12.68,3.39,3,77,138,8,Thriller,Tamil,4,Indian,38.71,21.54
76.9,11.16,9,52,116,4,Animated,Hindi,1,Indian,105.49,64.75
73.96,14.67,5,84,145,7,Fantasy/Adventure,Hindi,5,Indian,229.03,177.9
52.17,5.19,9,37,146,3,Rom-Com,Tamil,6,Indian,61.53,51.45
53.69,10.96,6,42,143,1,Thriller,Tamil,2,Indian,50.17,50.33
221.79,55.38,12,73,146,7,Horror/Thriller,English,4,Hollywood,259.0,1211.78
133.29,15.08,1,63,160,4,Sci-Fi/Action,English,8,Hollywood,119.57,1126.6
1133.1,329.8,8,100,166,8,Horror/Thriller,English,9,Hollywood,741.21,2487.75
17.25,0.5,3,86,150,10,Fantasy/Adventure,Telugu,2,Indian,61.27,32.29
96.77,34.56,9,64,126,6,Superhero,Hindi,6,Indian,439.39,220.57
185.15,33.09,1,91,150,7,Action (Masala),English,4,Indian,629.52,352.09
641.07,137.14,4,100,163,8,Thriller,Hindi,2,Indian,1300.58,283.7
25.85,4.7,11,81,120,8,Historical Epic,English,5,Indian,74.59,79.44
32.33,4.54,12,68,121,7,Drama,Hindi,3,Indian,64.01,33.43
188.85,16.47,4,47,111,3,Action (Masala),English,5,Hollywood,189.51,1127.56
17.18,3.51,3,28,132,2,Historical Epic,Hindi,6,Indian,26.56,28.57
443.29,40.42,7,35,127,2,Rom-Com,Tamil,0,Indian,225.95,382.62
677.18,115.42,7,69,126,7,Horror/Thriller,English,9,Hollywood,492.64,1218.74
69.05,17.97,6,75,130,4,Animated,English,5,Hollywood,76.54,555.75
152.5,17.44,7,51,142,4,Drama,Hindi,0,Indian,194.34,72.91
174.98,39.75,12,64,117,5,Rom-Com,English,4,Hollywood,279.01,952.77
128.88,21.75,9,60,129,3,Fantasy/Adventure,English,4,Hollywood,109.64,753.61
1025.32,189.88,5,69,134,2,Action (Masala),English,4,Hollywood,773.89,5633.62
73.05,12.44,7,58,159,5,Superhero,Hindi,2,Indian,223.09,103.96
9.89,3.23,7,39,166,5,Rom-Com,Hindi,2,Indian,19.66,9.36
22.19,4.41,8,52,114,4,Sci-Fi/Action,Tamil,2,Indian,52.87,33.32
19.2,10.44,12,59,158,4,Animated,Hindi,1,Indian,59.56,34.09
36.49,14.86,5,64,152,7,Drama,English,5,Indian,111.8,76.84
8.35,0.5,5,72,131,7,Fantasy/Adventure,Hindi,4,Indian,28.51,20.81
48.72,4.12,9,74,162,7,Fantasy/Adventure,Hindi,1,Indian,169.59,56.34
54.33,5.46,3,69,130,4,Rom-Com,Telugu,4,Indian,75.53,65.42
4.71,6.39,3,57,136,2,Horror/Thriller,Tamil,6,Indian,7.39,13.17
674.3,42.71,1,75,136,7,Historical Epic,English,3,Hollywood,2017.0,5482.71
54.78,19.05,2,38,145,3,Action (Masala),Hindi,3,Indian,114.85,74.13
198.12,19.13,8,64,142,4,Rom-Com,Hindi,0,Indian,260.0,108.75
84.74,13.93,7,67,111,7,Thriller,Hindi,4,Indian,179.61,61.17
203.42,52.02,1,57,129,5,Historical Epic,English,6,Hollywood,261.75,1867.35
49.42,5.46,8,73,139,9,Fantasy/Adventure,Hindi,5,Indian,108.47,91.65
46.01,2.02,2,72,119,4,Animated,Hindi,2,Indian,83.65,46.6
211.49,39.13,3,65,140,8,Historical Epic,English,9,Hollywood,322.92,1613.4
59.97,17.34,7,85,125,6,Drama,Others,2,Indian,122.16,80.75
34.52,8.29,4,95,87,7,Historical Epic,Hindi,5,Indian,92.06,77.57
45.64,10.37,10,94,126,9,Historical Epic,Tamil,3,Indian,199.08,96.54
430.61,97.94,3,44,157,4,Action (Masala),English,5,Hollywood,389.86,3584.01
186.38,32.11,2,59,164,1,Sci-Fi/Action,English,5,Hollywood,133.6,1171.45
209.72,31.66,1,63,133,5,Fantasy/Adventure,English,5,Hollywood,262.91,942.64
81.92,9.52,12,72,116,5,Fantasy/Adventure,Hindi,4,Indian,222.64,135.02
32.17,8.96,3,52,118,3,Superhero,Hindi,5,Indian,80.62,83.25
13.82,0.5,5,40,136,4,Thriller,Tamil,6,Indian,22.86,21.2
25.32,0.5,9,43,127,2,Animated,Tamil,1,Indian,30.58,22.84
216.63,23.7,6,70,144,4,Rom-Com,English,7,Hollywood,215.46,719.35
21.55,3.3,4,53,155,2,Superhero,Hindi,6,Indian,51.92,71.09
16.18,0.5,8,80,144,8,Thriller,Hindi,7,Indian,41.65,24.74
152.44,36.45,2,53,151,3,Fantasy/Adventure,English,7,Hollywood,207.57,1335.92
75.08,3.49,10,41,148,3,Sci-Fi/Action,Hindi,6,Indian,165.89,160.64
41.54,9.24,6,72,98,8,Thriller,Telugu,0,Indian,115.77,33.98
12.57,5.51,8,45,154,5,Fantasy/Adventure,Hindi,3,Indian,36.23,19.22
84.59,21.89,10,73,137,6,Action (Masala),Tamil,1,Indian,264.61,188.17
170.04,25.22,9,57,128,5,Thriller,Hindi,4,Indian,284.19,219.51
155.53,23.77,4,59,137,1,Sci-Fi/Action,English,6,Hollywood,146.07,742.29
30.91,4.92,5,54,123,4,Rom-Com,Telugu,3,Indian,59.9,51.83
42.07,0.76,9,54,127,6,Action (Masala),Telugu,1,Indian,97.75,56.35
867.1,176.66,10,74,103,6,Superhero,English,8,Hollywood,2294.1,6776.45
235.95,43.23,8,69,118,5,Thriller,English,2,Hollywood,235.34,1024.08
48.25,17.2,4,68,139,4,Rom-Com,Tamil,4,Indian,101.08,84.39
7.84,0.5,7,49,132,4,Sci-Fi/Action,Hindi,5,Indian,19.86,13.33
1528.82,72.91,12,67,117,4,Rom-Com,English,5,Hollywood,1762.54,4318.96
18.3,1.39,12,47,104,5,Thriller,Tamil,0,Indian,27.47,22.15
13.76,3.59,3,75,167,5,Historical Epic,Hindi,0,Indian,35.6,17.06
20.96,11.39,11,74,124,5,Drama,Telugu,1,Indian,44.26,25.24
67.03,12.78,6,73,161,6,Fantasy/Adventure,Others,9,Indian,150.24,134.26
736.88,165.48,8,89,171,9,Sci-Fi/Action,English,4,Hollywood,1022.53,61803.82
13.05,0.98,12,51,108,4,Animated,Hindi,4,Indian,32.96,22.93
1197.89,360.24,8,79,145,5,Thriller,English,3,Hollywood,1570.51,8522.67
207.79,42.13,10,74,114,5,Historical Epic,Hindi,3,Indian,482.59,296.4
17.34,1.61,7,70,128,5,Superhero,Hindi,3,Indian,50.44,39.3
14.39,6.13,12,45,110,1,Superhero,English,2,Indian,38.87,49.11
68.18,12.89,2,56,111,5,Animated,Hindi,5,Indian,81.16,71.08
176.16,29.95,5,72,146,3,Fantasy/Adventure,Hindi,1,Indian,262.92,268.41
84.89,22.37,1,72,123,4,Action (Masala),Hindi,3,Indian,229.79,107.1
54.69,11.53,5,89,103,7,Historical Epic,English,6,Hollywood,140.37,507.32
45.86,5.61,7,88,120,10,Animated,Hindi,0,Indian,137.14,42.38
9.27,0.5,5,50,139,6,Horror/Thriller,Telugu,9,Indian,12.74,17.34
13.31,2.07,8,61,167,4,Rom-Com,Telugu,5,Indian,25.04,17.99
28.94,5.55,7,57,130,4,Animated,Hindi,5,Indian,45.9,46.66
33.93,4.18,8,66,89,5,Thriller,Hindi,3,Indian,61.23,39.58
878.4,264.91,6,87,149,7,Animated,English,4,Hollywood,732.9,1895.18
14.18,9.24,6,68,111,6,Historical Epic,Hindi,1,Indian,45.56,30.92
978.82,371.71,9,73,153,6,Sci-Fi/Action,English,6,Hollywood,1161.89,2897.3
14.62,6.38,9,60,149,3,Historical Epic,Hindi,1,Indian,27.87,23.33
335.34,91.91,10,74,142,6,Historical Epic,English,6,Hollywood,455.66,3280.32
